日期,最高气温,最低气温,天气,风向,空气质量
2011-08-31 星期三 ,33℃,20℃,晴,无持续风向 微风,
2011-09-01 星期四 ,29℃,19℃,多云~阵雨,无持续风向 微风,
2011-09-02 星期五 ,24℃,18℃,小雨,无持续风向 微风,
2011-09-03 星期六 ,23℃,17℃,阵雨,无持续风向 微风,
2011-09-04 星期日 ,22℃,16℃,小雨,无持续风向 微风,
2011-09-05 星期一 ,19℃,15℃,小雨,无持续风向 微风,
2011-09-06 星期二 ,17℃,14℃,小雨,无持续风向 微风,
2011-09-07 星期三 ,24℃,13℃,晴~多云,无持续风向 微风,
2011-09-08 星期四 ,24℃,12℃,多云~阵雨,无持续风向 微风,
2011-09-09 星期五 ,20℃,11℃,阵雨,无持续风向 微风,
2011-09-10 星期六 ,21℃,10℃,多云~阵雨,无持续风向 微风,
2011-09-11 星期日 ,23℃,12℃,阵雨~多云,无持续风向 微风,
2011-09-12 星期一 ,26℃,14℃,晴~小雨,无持续风向 微风,
2011-09-13 星期二 ,26℃,13℃,多云~晴,无持续风向 微风,
2011-09-14 星期三 ,28℃,13℃,晴,无持续风向 微风,
2011-09-15 星期四 ,27℃,12℃,多云~阵雨,无持续风向 微风,
2011-09-16 星期五 ,18℃,11℃,阵雨,无持续风向 微风,
2011-09-17 星期六 ,12℃,8℃,小雨,无持续风向 微风,
2011-09-18 星期日 ,12℃,7℃,小雨,无持续风向 微风,
2011-09-19 星期一 ,16℃,10℃,阵雨,无持续风向 微风,
2011-09-20 星期二 ,16℃,10℃,阴,无持续风向 微风,
2011-09-21 星期三 ,19℃,11℃,多云,无持续风向 微风,
2011-09-22 星期四 ,16℃,9℃,多云,无持续风向 微风,
2011-09-23 星期五 ,19℃,10℃,多云,无持续风向 微风,
2011-09-24 星期六 ,17℃,11℃,多云~阵雨,无持续风向 微风,
2011-09-25 星期日 ,19℃,11℃,多云,无持续风向 微风,
2011-09-26 星期一 ,22℃,11℃,晴~多云,无持续风向 微风,
2011-09-27 星期二 ,16℃,9℃,小雨,无持续风向 微风,
2011-09-28 星期三 ,16℃,9℃,阵雨~多云,无持续风向 微风,
2011-09-29 星期四 ,20℃,9℃,晴,无持续风向 微风,
2011-09-30 星期五 ,22℃,10℃,晴~多云,无持续风向 微风,
2011-10-01 星期六 ,18℃,8℃,多云~小雨,无持续风向 微风,
2011-10-02 星期日 ,20℃,7℃,多云,无持续风向 微风,
2011-10-03 星期一 ,15℃,8℃,多云~阵雨,无持续风向 微风,
2011-10-04 星期二 ,21℃,8℃,多云~晴,无持续风向 微风,
2011-10-05 星期三 ,22℃,8℃,晴,无持续风向 微风,
2011-10-06 星期四 ,25℃,8℃,晴,无持续风向 微风,
2011-10-07 星期五 ,25℃,10℃,晴~多云,无持续风向 微风,
2011-10-08 星期六 ,21℃,11℃,阵雨~多云,无持续风向 微风,
2011-10-09 星期日 ,21℃,10℃,多云,无持续风向 微风,
2011-10-10 星期一 ,20℃,10℃,多云~小雨,无持续风向 微风,
2011-10-11 星期二 ,18℃,8℃,小雨~阵雨,无持续风向 微风,
2011-10-12 星期三 ,16℃,6℃,小雨~多云,无持续风向 微风,
2011-10-13 星期四 ,16℃,5℃,多云~晴,无持续风向 微风,
2011-10-14 星期五 ,16℃,2℃,晴,无持续风向 微风,
2011-10-15 星期六 ,17℃,3℃,晴,无持续风向 微风,
2011-10-16 星期日 ,18℃,3℃,晴,无持续风向 微风,
2011-10-17 星期一 ,19℃,3℃,晴,无持续风向 微风,
2011-10-18 星期二 ,15℃,5℃,阵雨~多云,无持续风向 微风,
2011-10-19 星期三 ,17℃,5℃,多云~晴,无持续风向 微风,
2011-10-20 星期四 ,19℃,6℃,多云,无持续风向 微风,
2011-10-21 星期五 ,17℃,8℃,多云~小雨,无持续风向 微风,
2011-10-22 星期六 ,13℃,6℃,小雨,无持续风向 微风,
2011-10-23 星期日 ,15℃,6℃,多云,无持续风向 微风,
2011-10-24 星期一 ,16℃,8℃,晴~多云,无持续风向 微风,
2011-10-25 星期二 ,12℃,6℃,小雨~多云,无持续风向 微风,
2011-10-26 星期三 ,13℃,6℃,多云,无持续风向 微风,
2011-10-27 星期四 ,15℃,4℃,多云,无持续风向 微风,
2011-10-28 星期五 ,17℃,3℃,晴,无持续风向 微风,
2011-10-29 星期六 ,20℃,3℃,晴,无持续风向 微风,
2011-10-30 星期日 ,19℃,3℃,晴,无持续风向 微风,
2011-10-31 星期一 ,13℃,5℃,小雨~多云,无持续风向 微风,
2011-11-01 星期二 ,12℃,7℃,多云,无持续风向 微风,
2011-11-02 星期三 ,16℃,8℃,阴~多云,无持续风向 微风,
2011-11-03 星期四 ,12℃,6℃,小雨,无持续风向 微风,
2011-11-04 星期五 ,12℃,6℃,多云,无持续风向 微风,
2011-11-05 星期六 ,15℃,8℃,晴~多云,无持续风向 微风,
2011-11-06 星期日 ,12℃,5℃,多云~小雨,无持续风向 微风,
2011-11-07 星期一 ,11℃,0℃,小雨~多云,无持续风向 微风,
2011-11-08 星期二 ,14℃,1℃,晴,无持续风向 微风,
2011-11-09 星期三 ,14℃,0℃,晴,无持续风向 微风,
2011-11-10 星期四 ,15℃,0℃,晴,无持续风向 微风,
2011-11-11 星期五 ,11℃,3℃,多云,无持续风向 微风,
2011-11-12 星期六 ,10℃,1℃,多云~晴,无持续风向 微风,
2011-11-13 星期日 ,12℃,0℃,多云~晴,无持续风向 微风,
2011-11-14 星期一 ,13℃,1℃,多云,无持续风向 微风,
2011-11-15 星期二 ,14℃,2℃,晴~多云,无持续风向 微风,
2011-11-16 星期三 ,12℃,1℃,晴~多云,无持续风向 微风,
2011-11-17 星期四 ,9℃,0℃,晴~多云,无持续风向 微风,
2011-11-18 星期五 ,8℃,-2℃,晴,无持续风向 微风,
2011-11-19 星期六 ,10℃,-1℃,晴,无持续风向 微风,
2011-11-20 星期日 ,11℃,-1℃,晴,无持续风向 微风,
2011-11-21 星期一 ,10℃,-1℃,晴,无持续风向 微风,
2011-11-22 星期二 ,11℃,-1℃,晴,无持续风向 微风,
2011-11-23 星期三 ,13℃,-1℃,晴,无持续风向 微风,
2011-11-24 星期四 ,13℃,-1℃,晴,无持续风向 微风,
2011-11-25 星期五 ,15℃,-1℃,晴,无持续风向 微风,
2011-11-26 星期六 ,12℃,-1℃,晴,无持续风向 微风,
2011-11-27 星期日 ,12℃,1℃,晴~多云,无持续风向 微风,
2011-11-28 星期一 ,9℃,0℃,多云,无持续风向 微风,
2011-11-29 星期二 ,8℃,-1℃,多云,无持续风向 微风,
2011-11-30 星期三 ,7℃,-3℃,晴~多云,无持续风向 微风,
2011-12-01 星期四 ,6℃,-3℃,多云~晴,无持续风向 微风,
2011-12-02 星期五 ,7℃,-3℃,晴,无持续风向 微风,
2011-12-03 星期六 ,8℃,-2℃,晴,无持续风向 微风,
2011-12-04 星期日 ,6℃,-3℃,晴~多云,无持续风向 微风,
2011-12-05 星期一 ,5℃,-2℃,多云~阴,无持续风向 微风,
2011-12-06 星期二 ,3℃,-4℃,小雪,无持续风向 微风,
2011-12-07 星期三 ,2℃,-6℃,多云~晴,无持续风向 微风,
2011-12-08 星期四 ,2℃,-5℃,多云,无持续风向 微风,
2011-12-09 星期五 ,0℃,-7℃,多云~晴,无持续风向 微风,
2011-12-10 星期六 ,-1℃,-10℃,晴,无持续风向 微风,
2011-12-11 星期日 ,1℃,-9℃,多云~晴,无持续风向 微风,
2011-12-12 星期一 ,0℃,-9℃,晴,无持续风向 微风,
2011-12-13 星期二 ,0℃,-10℃,晴,无持续风向 微风,
2011-12-14 星期三 ,0℃,-9℃,晴,无持续风向 微风,
2011-12-15 星期四 ,0℃,-8℃,晴,无持续风向 微风,
2011-12-16 星期五 ,2℃,-8℃,晴,无持续风向 微风,
2011-12-17 星期六 ,0℃,-8℃,多云,无持续风向 微风,
2011-12-18 星期日 ,2℃,-8℃,晴,无持续风向 微风,
2011-12-19 星期一 ,2℃,-7℃,晴,无持续风向 微风,
2011-12-20 星期二 ,2℃,-7℃,多云,无持续风向 微风,
2011-12-21 星期三 ,-1℃,-8℃,多云,无持续风向 微风,
2011-12-22 星期四 ,0℃,-10℃,晴,无持续风向 微风,
2011-12-23 星期五 ,-1℃,-10℃,晴,无持续风向 微风,
2011-12-24 星期六 ,0℃,-10℃,晴,无持续风向 微风,
2011-12-25 星期日 ,0℃,-10℃,晴~多云,无持续风向 微风,
2011-12-26 星期一 ,2℃,-7℃,多云,无持续风向 微风,
2011-12-27 星期二 ,3℃,-7℃,多云~晴,无持续风向 微风,
2011-12-28 星期三 ,3℃,-9℃,多云~晴,无持续风向 微风,
2011-12-29 星期四 ,3℃,-6℃,晴,无持续风向 微风,
2011-12-30 星期五 ,3℃,-7℃,晴,无持续风向 微风,
2011-12-31 星期六 ,3℃,-8℃,晴,无持续风向 微风,
2012-01-01 星期日 ,0℃,-9℃,多云~阴,无持续风向 微风,
2012-01-02 星期一 ,-3℃,-13℃,小雪~多云,无持续风向 微风,
2012-01-03 星期二 ,-2℃,-11℃,多云~晴,无持续风向 微风,
2012-01-04 星期三 ,0℃,-11℃,晴,无持续风向 微风,
2012-01-05 星期四 ,1℃,-10℃,晴,无持续风向 微风,
2012-01-06 星期五 ,1℃,-9℃,多云,无持续风向 微风,
2012-01-07 星期六 ,-1℃,-9℃,多云,无持续风向 微风,
2012-01-08 星期日 ,1℃,-8℃,多云~晴,无持续风向 微风,
2012-01-09 星期一 ,1℃,-6℃,多云,无持续风向 微风,
2012-01-10 星期二 ,0℃,-9℃,阴,无持续风向 微风,
2012-01-11 星期三 ,1℃,-8℃,多云,无持续风向 微风,
2012-01-12 星期四 ,1℃,-9℃,多云,无持续风向 微风,
2012-01-13 星期五 ,0℃,-9℃,多云~小雪,无持续风向 微风,
2012-01-14 星期六 ,0℃,-9℃,多云,无持续风向 微风,
2012-01-15 星期日 ,2℃,-10℃,晴,无持续风向 微风,
2012-01-16 星期一 ,1℃,-7℃,多云,无持续风向 微风,
2012-01-17 星期二 ,1℃,-6℃,多云~小雪,无持续风向 微风,
2012-01-18 星期三 ,0℃,-7℃,多云~小雪,无持续风向 微风,
2012-01-19 星期四 ,-1℃,-8℃,小雪,无持续风向 微风,
2012-01-20 星期五 ,-3℃,-9℃,小雪,无持续风向 微风,
2012-01-21 星期六 ,-4℃,-13℃,小雪,无持续风向 微风,
2012-01-22 星期日 ,-6℃,-16℃,阴~多云,无持续风向 微风,
2012-01-23 星期一 ,-8℃,-16℃,多云,无持续风向 微风,
2012-01-24 星期二 ,-6℃,-16℃,晴,无持续风向 微风,
2012-01-25 星期三 ,-5℃,-16℃,晴,无持续风向 微风,
2012-01-26 星期四 ,-4℃,-15℃,晴,无持续风向 微风,
2012-01-27 星期五 ,-3℃,-13℃,多云,无持续风向 微风,
2012-01-28 星期六 ,0℃,-10℃,多云,无持续风向 微风,
2012-01-29 星期日 ,0℃,-9℃,多云,无持续风向 微风,
2012-01-30 星期一 ,3℃,-8℃,晴,无持续风向 微风,
2012-01-31 星期二 ,5℃,-9℃,晴,无持续风向 微风,
2012-02-01 星期三 ,1℃,-8℃,多云~阴,无持续风向 微风,
2012-02-02 星期四 ,2℃,-8℃,晴,无持续风向 微风,
